"name","Signature","value","injection","method"
"PD37449d_lo0006","SBS88",767.99497306467,"normal","Crypt"
"PD37449d_lo0011","SBS88",131.141213419694,"normal","Crypt"
"PD37449d_lo0012","SBS88",217.640682160027,"normal","Crypt"
"PD37449d_lo0017","SBS88",766.138606827571,"normal","Crypt"
"PD37449e_lo0001","SBS88",0,"normal","Crypt"
"PD37449e_lo0002","SBS88",0,"normal","Crypt"
"PD37449e_lo0003","SBS88",0,"normal","Crypt"
"PD37449e_lo0004","SBS88",0,"normal","Crypt"
"PD37449e_lo0006","SBS88",53.5014645589013,"normal","Crypt"
"PD37449e_lo0008","SBS88",781.357006556534,"normal","Crypt"
"PD37449e_lo0010","SBS88",525.8135252289,"normal","Crypt"
"PD37449e_lo0014","SBS88",23.4827088524702,"normal","Crypt"
"PD37449e_lo0015","SBS88",0,"normal","Crypt"
"PD37449f_lo0002","SBS88",0,"normal","Crypt"
"PD37449f_lo0006","SBS88",0,"normal","Crypt"
"PD37449f_lo0008","SBS88",0,"normal","Crypt"
"PD37449f_lo0010","SBS88",0,"normal","Crypt"
"PD37449f_lo0011","SBS88",0,"normal","Crypt"
"PD37449f_lo0016","SBS88",16.0269386007799,"normal","Crypt"
"PD37449f_lo0017","SBS88",0,"normal","Crypt"
"PD37449f_lo0019","SBS88",0,"normal","Crypt"
"PD37449f_lo0022","SBS88",24.5934864533989,"normal","Crypt"
"PD37449f_lo0023","SBS88",0,"normal","Crypt"
"PD37457b4","SBS88",0,"carcinoma","Crypt"
"PD37457c4","SBS88",0,"carcinoma","Crypt"
"PD37457e6","SBS88",0,"carcinoma","Crypt"
"PD37457f4","SBS88",0,"carcinoma","Crypt"
"PD37457f7","SBS88",0,"carcinoma","Crypt"
"PD37457g5","SBS88",0,"carcinoma","Crypt"
"PD37457h2","SBS88",0,"carcinoma","Crypt"
"PD37457h5","SBS88",0,"carcinoma","Crypt"
"PD37457i4","SBS88",0,"carcinoma","Crypt"
"PD37457i5","SBS88",0,"carcinoma","Crypt"
"PD37457j7","SBS88",9.09921808855801,"carcinoma","Crypt"
"PD37457j8","SBS88",0,"carcinoma","Crypt"
"PD37509b8","SBS88",116.89153019144,"normal","Crypt"
"PD37509b9","SBS88",119.779367365551,"normal","Crypt"
"PD37510b4","SBS88",33.857058702676,"normal","Crypt"
"PD37510b7","SBS88",104.786797518191,"normal","Crypt"
"PD37510b8","SBS88",113.417819270925,"normal","Crypt"
"PD37512a11","SBS88",346.239877862844,"normal","Crypt"
"PD37512a4","SBS88",0,"normal","Crypt"
"PD37512a5","SBS88",0,"normal","Crypt"
"PD37512b7","SBS88",0,"normal","Crypt"
"PD37513a13","SBS88",67.6622035954843,"normal","Crypt"
"PD37513a2","SBS88",198.490353716284,"normal","Crypt"
"PD37513a20","SBS88",0,"normal","Crypt"
"PD37513a21","SBS88",0,"normal","Crypt"
"PD37513a3","SBS88",377.030687661768,"normal","Crypt"
"PD37513b5","SBS88",0,"normal","Crypt"
"PD37513b7","SBS88",0,"normal","Crypt"
"PD37513b8","SBS88",27.5810488343213,"normal","Crypt"
"PD37514a","SBS88",0,"normal","Crypt"
"PD37514a2","SBS88",0,"normal","Crypt"
"PD37514a3","SBS88",0,"normal","Crypt"
"PD37514b3","SBS88",0,"normal","Crypt"
"PD37514b7","SBS88",0,"normal","Crypt"
"PD37514b8","SBS88",0,"normal","Crypt"
"PD37590b_lo0010","SBS88",0,"normal","Crypt"
"PD37590b_lo0015","SBS88",0,"normal","Crypt"
"PD37590b_lo0018","SBS88",0,"normal","Crypt"
"PD37590b_lo0030","SBS88",0,"normal","Crypt"
"PD37590b_lo0033","SBS88",0,"normal","Crypt"
"PD37590b_lo0041","SBS88",0,"normal","Crypt"
"PD37590b_lo0051","SBS88",0,"normal","Crypt"
"PD37590b_lo0052","SBS88",0,"normal","Crypt"
"PD37590b_lo0053","SBS88",0,"normal","Crypt"
"PD37590b_lo0058","SBS88",0,"normal","Crypt"
"PD37590b_lo0074","SBS88",0,"normal","Crypt"
"PD37590b_lo0075","SBS88",0,"normal","Crypt"
"PD37590b_lo0090","SBS88",0,"normal","Crypt"
"PD37590b_lo0092","SBS88",0,"normal","Crypt"
"PD37590b_lo0107","SBS88",0,"normal","Crypt"
"PD37590b_lo0116","SBS88",0,"normal","Crypt"
"PD37590b_lo0117","SBS88",0,"normal","Crypt"
"PD37590c_lo0001","SBS88",0,"normal","Crypt"
"PD37590c_lo0005","SBS88",0,"normal","Crypt"
"PD37590c_lo0009","SBS88",0,"normal","Crypt"
"PD37590c_lo0019","SBS88",0,"normal","Crypt"
"PD37590c_lo0021","SBS88",0,"normal","Crypt"
"PD37590c_lo0025","SBS88",0,"normal","Crypt"
"PD37590c_lo0032","SBS88",0,"normal","Crypt"
"PD37590c_lo0034","SBS88",0,"normal","Crypt"
"PD37590c_lo0040","SBS88",0,"normal","Crypt"
"PD37590c_lo0048","SBS88",0,"normal","Crypt"
"PD37590d_lo0012","SBS88",0,"normal","Crypt"
